name,type,confidence,basis_for_guess,index_letter,page_refs,index_entry,index_entry_original
First,uncertain,0.45,mixed signals: used elsewhere as a location; described by rank/office,F,400.53.,"First falling out betweene king Henry the second, and Thomas Becket. 400.53.","Firſt falling out betweene king Henry the ſecond, and Tho|mas Becket. 400.53."
First,place,0.8,used elsewhere as a location,F,1.10,First inhabitants of Brytayne not certainely knowne. 1.10,Firſt inhabitants of Brytayne not certainely knowne. 1.10
First,place,0.8,used elsewhere as a location,F,6.80.,"First inhabitantes of Brytaine, why called Giantes. 6.80.","Firſt inhabitantes of Brytaine, why called Giantes. 6.80."
Fitz Peter Geffrey,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,F,535.90.,Fitz Peter Geffrey made chief Iustice of England. 535.90.,Fitz Peter Geffrey made chief Iuſtice of England. 535.90.
Fitz Peter Geffrey,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; appointment to office,F,545.39.,"Fitz Peter Geffrey created Earle of Essex, and gyrded wyth the sworde of the same 545.39.","Fitz Peter Geffrey created Earle of Eſſex, and gyrded wyth the ſworde of the ſame 545.39."
First battaile,place,0.95,place-type word in name; used elsewhere as a location,F,142.97.,First battaile betweene the Saxons one against another in Britaine. 142.97.,Firſt battaile betweene the Saxons one againſt another in Britaine. 142.97.
Fitz Peter Geffrey,person,0.97,given name in entry; used elsewhere as a personal name; biographical event,F,582 62. what he was. 582.64.,Fitz Peter Geffrey dieth. 582 62. what he was. 582.64.,Fitz Peter Geffrey dieth. 582 62. what he was. 582.64.
Fitz Walter Robert,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,F,,Fitz Walter Robert appoynted general for the Barons of England agaynst king Iohn 588.12.,Fitz Walter Robert appoynted general for the Barons of England agaynſt king Iohn 588.12.
Fitz Walter Robert,person,0.97,given name in entry; used elsewhere as a personal name,F,556.57.,Fitz Walter Robert. 556.57.,Fitz Walter Robert. 556.57.
Finchamsteede in Barkeshyre,place,0.81,used elsewhere as a location,F,329.29.,Finchamsteede in Barkeshyre 329.29.,Finchamſteede in Barkeſhyre 329.29.
Fitz Hamon Robert,person,0.97,given name in entry; used elsewhere as a personal name,F,334.1.,Fitz Hamon Robert. 334.1.,Fitz Hamon Robert. 334.1.
Fines,person,0.9,used elsewhere as a personal name,F,646.38.,Fines sea<?>ed by Henry the .iii. on his officers for falshood. 646.38.,Fines ſea<?>ed by Henry the .iii. on his officers for falſhood. 646.38.
Fitz Iohn Eustace,person,0.97,given name in entry; used elsewhere as a personal name,F,369.1.,Fitz Iohn Eustace. 369.1.,Fitz Iohn Euſtace. 369.1.
Fitz,person,0.95,used elsewhere as a personal name,F,,Fitz Alain William. 369.1.,Fitz Alain William. 369.1.
Fitzvize Richard,person,0.97,given name in entry; used elsewhere as a personal name,F,376.36.,"Fitzvize Richard, taken prisoner. 376.36.","Fitzvize Richard, taken priſo|ner. 376.36."
Fyrst,person,0.91,described by rank/office; holds a title over a place,F,566.92.,Fyrst Mayor of London. 566.92.,Fyrſt Mayor of London. 566.92.
Fitziames,person,0.97,described by rank/office; holds a title over a place; biographical event,F,1518.45.,Fitziames Byshop of London dyeth. 1518.45.,Fitziames Byſhop of London dyeth. 1518.45.
Fitz Peter,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,F,542.18,"Fitz Peter, Geffrey Lord chief Iustice of England. 542.18","Fitz Peter, Geffrey Lord chief Iuſtice of England. 542.18"
Fitz Bernard Thomas,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,F,409.80.,"Fitz Bernard Thomas, accursed by Archbyshop Thomas Becket. 409.80.","Fitz Bernard Thomas, accur|ſed by Archbyſhop Thomas Becket. 409.80."
Fitz,person,0.97,used elsewhere as a personal name; described by rank/office,F,415.62.,"Fitz Vrse Reignold, knight. 415.62.","Fitz Vrſe Reignold, knight. 415.62."
Fitz Aldeline William,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,F,419.55.,"Fitz Aldeline William, Sewer to king Henry the seconde. 419.55.","Fitz Aldeline William, Sewer to king Henry the ſeconde. 419.55."
Fitzbarhard Robert,person,0.97,given name in entry; used elsewhere as a personal name,F,419.55.,Fitzbarhard Robert sent ouer into Ireland. 419.55.,Fitzbarhard Robert ſent ouer into Ireland. 419.55.
Fitz Bernhard Robert,person,0.87,given name in entry; used elsewhere as a personal name; located within a named region,F,421.42.,"Fitz Bernhard Robert, made keeper of Waterfoord and Wessefoord cities in Ireland. 421.42.","Fitz Bernhard Robert, made keeper of Waterfoord and Weſſefoord cities in Ire|land. 421.42."
Fitz Radulfe William,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,F,508.49.,"Fitz Radulfe William, Lorde Steward of Normandie, interdicted. 508.49.","Fitz Radulfe William, Lorde Steward of Normandie, in|terdicted. 508.49."
Fitz Osoert William,person,0.97,given name in entry; used elsewhere as a personal name,F,528.100.,"Fitz Osoert William, called otherwise, William wyth the long beard. 528.100.","Fitz Oſoert William, called o|therwiſe, William wyth the long beard. 528.100."
Fitz Williams William Erle of Southampton,person,0.97,given name in entry; title of rank in name; used elsewhere as a personal name; described by rank/office; biogr,F,1595.14,Fitz Williams William Erle of Southampton Lord Priuie seale dyeth at Newcastle in his iourney towardes Scotland yet his standard is borne in the foreward al this iourney. 1595.14,Fitz Williams William Erle of Southampton Lord Pri|uie ſeale dyeth at Newcaſtle in his iourney towardes Scotland yet his ſtandard is borne in the foreward al this iourney. 1595.14
Fitz Williams,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; appointment to office,F,1571.5.,Fitz Williams Williã knight Lord Admyral is created Earle of Southampton. 1571.5.,Fitz Williams Williã knight Lord Admyral is created Earle of Southampton. 1571.5.
Fitz Williams William,person,0.97,given name in entry; used elsewhere as a personal name,F,1477.35.,Fitz Williams William hurt. 1477.35.,Fitz Williams William hurt. 1477.35.
Flint Castle,place,0.89,place-type word in name; used elsewhere as a location,F,789.6. a.,Flint Castle builded. 789.6. a.,Flint Caſtle builded. 789.6. a.
Fitz,person,0.97,used elsewhere as a personal name; described by rank/office,F,1565 22.,Fitz waren Lorde Fitz waren created Erle of Bath. 1565 22.,Fitz waren Lorde Fitz waren created Erle of Bath. 1565 22.
Fitz,person,0.97,used elsewhere as a personal name; described by rank/office,F,307.99.,"Fitz Baldrick Hugh, Shyrife of Yorkeshyre. 307.99.","Fitz Baldrick Hugh, Shyrife of Yorkeſhyre. 307.99."
Fishes,uncertain,0.45,mixed signals: weak evidence,F,471 101.,Fishes fight vpon the land. 471 101.,Fiſhes fight vpon the land. 471 101.
Fitzaldelme William,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; appointment to office,F,444.76,Fitzaldelme William ordeyned Lord chiefe Iustice of Ireland. 444.76,Fitzaldelme William ordeyned Lord chiefe Iuſtice of Ire|land. 444.76
Fishes,place,0.84,contextual verb evidence,F,447 7.,Fishes die in the waters thorowe sharpnes of a froste. 447 7.,Fiſhes die in the waters tho|rowe ſharpnes of a froſte. 447 7.
Fines,person,0.96,used elsewhere as a personal name; described by rank/office,F,726.11,Fines Ingram Lord. 726.11,Fines Ingram Lord. 726.11
Firy,uncertain,0.45,mixed signals: weak evidence,F,1834.40. and. 1870.46. and. 1872.21.,Firy impressions seene in the ayre. 1834.40. and. 1870.46. and. 1872.21.,Firy impreſſions ſeene in the ayre. 1834.40. and. 1870.46. and. 1872.21.
Finch Thomas,person,0.78,given name in entry; used elsewhere as a personal name; described by rank/office,F,"1767.58. he appointed to be knight marshal at Newehauen, is drowned. 1838.30.","Finch Thomas knight, Camp maister in the iourney of S. Quintines. 1767.58. he appointed to be knight marshal at Newehauen, is drowned. 1838.30.","Finch Thomas knight, Camp maiſter in the iourney of S. Quintines. 1767.58. he ap|pointed to be knight marſhal at Newehauen, is drowned. 1838.30."
Foquesolles,person,0.84,biographical event,F,1599.17,Foquesolles Seneschal of Bullogne slaine. 1599.17,Foqueſolles Seneſchal of Bul|logne ſlaine. 1599.17
Fos<?>ew Andrian,person,0.95,described by rank/office; biographical event,F,1570.54.,"Fos<?>ew Andrian knight attainted, and executed. 1570.54.","Foſ<?>ew Andrian knight attain|ted, and executed. 1570.54."
Fore Richard,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language; appointmen,F,"1432.6. sent ambassadour into Fraunce. 1439.35. bishop of Durhã and owner of Northam castle. 1448.21. Ambassadour into Scotland. 1449. 2. asswageth by letters, the displeasure of the Scottishe king. 1452.18. is desired of the Scottes to come and speake with hym. ibidem. is a meane for the mariage of the kyngs daughter vnto the Scot. eadem. 55. made Bishop of Winchester. 1455.43.","Fore Richard chosen bishop of Exceter, sent ambassadour into Scotland. 1432.6. sent ambassadour into Fraunce. 1439.35. bishop of Durhã and owner of Northam castle. 1448.21. Ambassadour into Scotland. 1449. 2. asswageth by letters, the displeasure of the Scottishe king. 1452.18. is desired of the Scottes to come and speake with hym. ibidem. is a meane for the mariage of the kyngs daughter vnto the Scot. eadem. 55. made Bishop of Winchester. 1455.43.","Fore Richard choſen biſhop of Exceter, ſent ambaſſadour into Scotland. 1432.6. ſent ambaſſadour into Fraunce. 1439.35. biſhop of Durhã and owner of Northam ca|ſtle. 1448.21. Ambaſſa|dour into Scotland. 1449. 2. aſſwageth by letters, the diſpleaſure of the Scottiſhe king. 1452.18. is deſired of the Scottes to come and ſpeake with hym. ibidem. is a meane for the mariage of the kyngs daughter vnto the Scot. eadem. 55. made Bi|ſhop of Wincheſter. 1455.43."
Foxe Richard,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,F,1464.48,"Foxe Richard Bishop of Winchester, one of the priuie Councel to king Henrye the eight. 1464.48","Foxe Richard Biſhop of Win|cheſter, one of the priuie Councel to king Henrye the eight. 1464.48"
Forthere,person,0.67,used elsewhere as a personal name,F,192.5,Forthere succeedeth Aldhelme in the Bishopricke of Shireburne. 192.5,Forthere ſucceedeth Aldhelme in the Biſhopricke of Shire|burne. 192.5
Forthere,person,0.93,used elsewhere as a personal name,F,192.9.,Forthere leaueth his Bishoprik and goeth to Rome. 192.9.,Forthere leaueth his Biſhoprik and goeth to Rome. 192.9.
Fosse way,place,0.85,place-type word in name; used elsewhere as a location,F,24.66,Fosse way where it begynneth and endeth. 24.66,Foſſe way where it begynneth and endeth. 24.66
Fore Iohn,person,0.97,given name in entry; used elsewhere as a personal name,F,154.56. and .223.78. and 263.13,Fore Iohn cited. 154.56. and .223.78. and 263.13,Fore Iohn cited. 154.56. and .223.78. and 263.13
Foxe Iohn,person,0.97,given name in entry; used elsewhere as a personal name,F,235.52.,Foxe Iohn deceyued. 235.52.,Foxe Iohn deceyued. 235.52.
Foure,place,0.85,located within a named region,F,752 45.,Foure and twentye gouernors appoynted in England. 752 45.,Foure and twentye gouernors appoynted in England. 752 45.
Iohn Fordham,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,F,1070.36. a,Iohn Fordham Bishop of Durham fleeth. 1070.36. a,Iohn Fordham Biſhop of Dur|ham fleeth. 1070.36. a
Foulgiers castle,place,0.86,place-type word in name; used elsewhere as a location,F,409.50,"Foulgiers castle taken, and vtterly destroyed. 409.50","Foulgiers caſtle taken, and vt|terly deſtroyed. 409.50"
Foure,uncertain,0.45,mixed signals: described by rank/office; holds a title over a place,F,42.97.,"Foure kings in Kent, and their names, at Cesars commyng 42.97.","Foure kings in Kent, and their names, at Ceſars commyng 42.97."
Fouke,person,0.95,described by rank/office; holds a title over a place,F,359.17.,"Fouke earle of Aniou, returneth out of the holy land. 359.17.","Fouke earle of Aniou, retur|neth out of the holy land. 359.17."
Foukes de Brent,uncertain,0.45,mixed signals: described by rank/office,F,,"Foukes de Brent aduaunced to mariage, by king Iohn. 596.44.","Foukes de Brent aduaunced to mariage, by king Iohn. 596.44."
Fordher,person,0.9,described by rank/office; biographical event,F,159.75.,"Fordher a knight slaine, attending vppon king Edwine. 159.75.","Fordher a knight ſlaine, atten|ding vppon king Edwine. 159.75."
Focas Emperour,person,0.88,title of rank in name,F,153.50,Focas Emperour. 153.50,Focas Emperour. 153.50
Formalis,person,0.97,described by rank/office; holds a title over a place; biographical event,F,480 48.,Formalis Archbishop of Erier dyeth at Northampton. 480 48.,Formalis Archbiſhop of Erier dyeth at Northampton. 480 48.
Fourty,person,0.81,described by rank/office,F,757.77.,"Fourty thousand knightes fees and vpward, in Englande. 757.77.","Fourty thouſand knightes fees and vpward, in Englande. 757.77."
Forth in Scotland,place,0.88,located within a named region,F,140.9,"Forth in Scotland, in British, werd. 140.9","Forth in Scotland, in Britiſh, werd. 140.9"
Fornham battaile,place,0.77,place-type word in name; used elsewhere as a location; kinship language,F,431.83,"Fornham battaile fought by the Nobles, on the part of Kyng Henry the second, against the Nobles on the part of Henry his sonne. 431.83","Fornham battaile fought by the Nobles, on the part of Kyng Henry the ſecond, againſt the Nobles on the part of Henry his ſonne. 431.83"
Forz William,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,F,618.31.,Forz William earle of Albemarle moneth sedition. 618.31.,Forz William earle of Albe|marle moneth ſedition. 618.31.
Forfeylure,uncertain,0.45,mixed signals: described by rank/office,F,366.7,Forfeylure for killing the kings Deere. 366.7,Forfeylure for killing the kings Deere. 366.7
Fouke,person,0.93,described by rank/office; holds a title over a place,F,356.38,"Fouke earle of Aniou, becommeth friende to kyng Henry the first. 356.38","Fouke earle of Aniou, becom|meth friende to kyng Henry the firſt. 356.38"
Forz William,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,F,528.44,Forz William earle of Albemarle dyeth. 528.44,Forz William earle of Albe|marle dyeth. 528.44
Folioth Robert,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; appointment to office,F,432.57.,Folioth Robert made bishop of Hereford. 432.57.,Folioth Robert made biſhop of Hereford. 432.57.
Follioth Gilbert,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,F,406.43,Follioth Gilbert bishop of London sent ambassadour into France. 406.43,Follioth Gilbert biſhop of Lon|don ſent ambaſſadour into France. 406.43
Follioth Gilbert Bishoppe of London,person,0.97,given name in entry; title of rank in name; used elsewhere as a personal name; described by rank/office,F,406.58.,"Follioth Gilbert Bishoppe of London, sent Ambassadour to the Pope. 406.58.","Follioth Gilbert Biſhoppe of London, ſent Ambaſſadour to the Pope. 406.58."
Fountneyes Abbey,place,0.97,place-type word in name; used elsewhere as a location,F,394.27.,Fountneyes Abbey founded. 394.27.,Fountneyes Abbey founded. 394.27.
Foure Archbishoprickes,place,0.88,located within a named region,F,386.31,Foure Archbishoprickes ordeyned in Ireland. 386.31,Foure Archbiſhoprickes ordey|ned in Ireland. 386.31
Fodringhey castle,place,0.75,place-type word in name; used elsewhere as a location; described by rank/office,F,618.55,Fodringhey castle taken by the Earle of Albemarle. 618.55,Fodringhey caſtle taken by the Earle of Albemarle. 618.55
fougiers,person,0.8,contextual verb evidence,F,pag. 1274. col. 1. lin. 52.,fougiers taken by the Englishe from the Duke of Britaine. pag. 1274. col. 1. lin. 52.,fougiers taken by the Engliſhe from the Duke of Britaine. pag. 1274. col. 1. lin. 52.
Lewes,person,0.92,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,F,940.23. b.,"Lewes Earle of Flanders promiseth to marye Kyng Edwarde the thirds, daughter. 940.23. b.","Lewes Earle of Flanders pro|miſeth to marye Kyng Ed|warde the thirds, daughter. 940.23. b."
Flammocfe Thomas,person,0.97,given name in entry; used elsewhere as a personal name,F,1446.15. is put to death. 1447.47.,Flammocfe Thomas a Lawice and Rebel. 1446.15. is put to death. 1447.47.,Flammocfe Thomas a Lawice and Rebel. 1446.15. is put to death. 1447.47.
Flemmings,group,0.85,collective / people-name,F,912.46. a.,Flemmings released of dets and interdiction. 912.46. a.,Flemmings releaſed of dets and interdiction. 912.46. a.
Earle of Flãders,person,0.75,title of rank in name; used elsewhere as a location,F,817. 6. a. fleeth into France. 903.20. a.,Earle of Flãders arested. 817. 6. a. fleeth into France. 903.20. a.,Earle of Flãders areſted. 817. 6. a. fleeth into France. 903.20. a.
Lewes,person,0.92,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,F,934.32. b.,Lewes Earle of Flaunders slayne at Gresfey. 934.32. b.,Lewes Earle of Flaunders ſlayne at Greſfey. 934.32. b.
Flanders,place,0.72,used elsewhere as a location,F,908.1. a.,Flanders interdyeted. 908.1. a.,Flanders interdyeted. 908.1. a.
Flemmings,group,0.85,collective / people-name,F,1043.20. a.,Flemmings dicomfited by the Bishop of Norwich. 1043.20. a.,Flemmings dicomfited by the Biſhop of Norwich. 1043.20. a.
Flemmings,group,0.85,collective / people-name,F,905.10. b. sweare fealtie to him. 906.20. b. ayded the Earle of Henault. 909.39. b.,Flemmings moue Kyng Edward the third to take vppon hym the title of France. 905.10. b. sweare fealtie to him. 906.20. b. ayded the Earle of Henault. 909.39. b.,Flemmings moue Kyng Ed|ward the third to take vppon hym the title of France. 905.10. b. ſweare fealtie to him. 906.20. b. ayded the Earle of Henault. 909.39. b.
Flauius,person,0.84,kinship language,F,97.63.,"Flauius Victor Nobilissimus, assistant with his Father Maximius in the Empire. 97.63.","Flauius Victor Nobiliſſimus, aſſiſtant with his Father Maximius in the Empire. 97.63."
Flauius,person,0.84,biographical event,F,97.96.,Flauius Victor Nobilissimus slayne. 97.96.,Flauius Victor Nobiliſſimus ſlayne. 97.96.
Flemmings,group,0.85,collective / people-name,F,432.33.,"Flemmings hope and iolitie in England, layed in the dust 432.33.","Flemmings hope and iolitie in England, layed in the duſt 432.33."
Flires,uncertain,0.2,"proper name, but no clear signal",F,242.15.,Flires of blood vexe the people of England. 242.15.,Flires of blood vexe the peo|ple of England. 242.15.
Flemmings,group,0.85,collective / people-name,F,901.30. b.,Flemmings discomfited at Cadfant 901.30. b.,Flemmings diſcomfited at Cadfant 901.30. b.
Floriacensis,person,0.85,contextual verb evidence,F,287.73.,Floriacensis cited. 287.73.,Floriacenſis cited. 287.73.
Fleetwood William,person,0.97,given name in entry; used elsewhere as a personal name,F,390.2.,"Fleetwood William, Recorder of London. 390.2.","Fleetwood William, Recor|der of London. 390.2."
Florye Abbey,place,0.97,place-type word in name; used elsewhere as a location; located within a named region,F,232.26.,Florye Abbey in France. 232.26.,Florye Abbey in France. 232.26.
Flanders,place,0.67,used elsewhere as a location,F,347.16.,Flanders a great part drowned by breaking in of the Sea. 347.16.,Flanders a great part drowned by breaking in of the Sea. 347.16.
Flemmings,group,0.85,collective / people-name,F,436.13.,Flemmings sent home into theyr owne countrey. 436.13.,Flemmings ſent home into theyr owne countrey. 436.13.
Flemmings,group,0.85,collective / people-name,F,347.18.,"Flemmings comming ouer into England, haue places appoynted them to inhabite. 347.18.","Flemmings comming ouer in|to England, haue places ap|poynted them to inhabite. 347.18."
Flemmings,group,0.85,collective / people-name,F,841.20. b.,Flemmings banished. 841.20. b.,Flemmings baniſhed. 841.20. b.
Fraunces of Lutzenburg,person,0.83,given name in entry; used elsewhere as a location; described by rank/office,F,1436.55.,Fraunces of Lutzenburg sent Ambassadour from ye french kyng. 1436.55.,Fraunces of Lutzenburg ſent Ambaſſadour from ye french kyng. 1436.55.
Fraunces,person,0.89,given name in entry; used elsewhere as a location; described by rank/office; holds a title over a place; biogr,F,1434.38.,Fraunces Duke of Britaine dyeth. 1434.38.,Fraunces Duke of Britaine dyeth. 1434.38.
France,place,0.74,used elsewhere as a location; described by rank/office,F,546.47,France interdicted by ye Popes Legate. 546.47,France interdicted by ye Popes Legate. 546.47
Frith Iohn,person,0.84,given name in entry; used elsewhere as a personal name,F,1563.41.,Frith Iohn burnt. 1563.41.,Frith Iohn burnt. 1563.41.
Frenchmen,group,0.85,collective / people-name,F,941.6. a.,Frenchmen discomfited at Roche Darien. 941.6. a.,Frenchmen diſcomfited at Roche Darien. 941.6. a.
Frereyes,uncertain,0.2,"proper name, but no clear signal",F,1471.32.,Frereyes suppressed. 1471.32.,Frereyes ſuppreſſed. 1471.32.
Frenchmen,group,0.85,collective / people-name,F,1018.10. b.,Frenchmen spoyle the West countrey. 1018.10. b.,Frenchmen ſpoyle the Weſt countrey. 1018.10. b.
Frenchmen,group,0.85,collective / people-name,F,1048.30. b.,Frenchmen ayde the Scots. 1048.30. b.,Frenchmen ayde the Scots. 1048.30. b.
Frier Randoll,person,0.75,title of rank in name; used elsewhere as a personal name,F,1198 col. 1 lin. 51.,Frier Randoll prisoner in the Tower of London. pa. 1198 col. 1 lin. 51.,Frier Randoll priſoner in the Tower of London. pa. 1198 col. 1 lin. 51.
French,group,0.85,collective / people-name,F,1050.20. a.,French shippes taken by them of Calais. 1050.20. a.,French ſhippes taken by them of Calais. 1050.20. a.
French,group,0.85,collective / people-name,F,1056.21. b.,French shippes taken. 1056.21. b.,French ſhippes taken. 1056.21. b.
French,group,0.85,collective / people-name,F,1057.1. a.,French fleete disappoynted by tempest. 1057.1. a.,French fleete diſappoynted by tempeſt. 1057.1. a.
Frenchmen,group,0.85,collective / people-name,F,950.50. a.,Frenchmen discomsited at Caen. 950.50. a.,Frenchmen diſcomſited at Caen. 950.50. a.
French,group,0.85,collective / people-name,F,916.6. b.,French army entreth Brytaine 916.6. b.,French army entreth Brytaine 916.6. b.
Frenchmen,group,0.85,collective / people-name,F,928.33. b.,Frenchmen discomfited by the Archdeacon of Vnfort. 928.33. b.,Frenchmen diſcomfited by the Archdeacon of Vnfort. 928.33. b.
Hugh de Fresnes,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,F,899.35. b.,Hugh de Fresnes Earle of Lincoln dyeth. 899.35. b.,Hugh de Freſnes Earle of Lin|coln dyeth. 899.35. b.
French,group,0.85,collective / people-name,F,955.40. b.,French king followeth the duke of Lancaster. 955.40. b.,French king followeth the duke of Lancaſter. 955.40. b.
Frenchmen,group,0.85,collective / people-name,F,285.51.,"Frenchmen assist Duke William of Normandie, in hys conquest of England. 285.51.","Frenchmen aſſiſt Duke Willi|am of Normandie, in hys conqueſt of England. 285.51."
Frenchmen,group,0.85,collective / people-name,F,915.40. a.,Frenchmen sent to ayde the Scots. 915.40. a.,Frenchmen ſent to ayde the Scots. 915.40. a.
French,group,0.85,collective / people-name,F,928.24. a.,French armie enter Gascoyn. 928.24. a.,French armie enter Gaſcoyn. 928.24. a.
Frenchmen,group,0.85,collective / people-name,F,927.7. b.,Frenchmen discomfited at Aubaroch. 927.7. b.,Frenchmen diſcomfited at Au|baroch. 927.7. b.
French,group,0.85,collective / people-name,F,1053.39. a.,French preparation to inuade England. 1053.39. a.,French preparation to inuade England. 1053.39. a.
French,group,0.85,collective / people-name,F,935.50. a.,French men slaine at Creffy. 935.50. a.,French men ſlaine at Creffy. 935.50. a.
French,group,0.85,collective / people-name,F,1012.26. b.,French men discomfyted by Sir Iohn Harleston. 1012.26. b.,French men diſcomfyted by Sir Iohn Harleſton. 1012.26. b.
French,group,0.85,collective / people-name,F,941.40. b.,French armie assembled to raise the siege at Calais. 941.40. b.,French armie aſſembled to raiſe the ſiege at Calais. 941.40. b.
Frenchmen,group,0.85,collective / people-name,F,916.45. b.,Frenchmen slaine in Brytaine by the Englishmen. 916.45. b.,Frenchmen ſlaine in Brytaine by the Engliſhmen. 916.45. b.
French,group,0.85,collective / people-name,F,912.3. a.,French king lyeth encamped at Bouins. 912.3. a.,French king lyeth encamped at Bouins. 912.3. a.
French,group,0.85,collective / people-name,F,1045.20. b,French shippes taken by the English men. 1045.20. b,French ſhippes taken by the Engliſh men. 1045.20. b
French,group,0.85,collective / people-name,F,874.26 b. inuade England. 904.4. a.,French men slayne in Guyen. 874.26 b. inuade England. 904.4. a.,French men ſlayne in Guyen. 874.26 b. inuade England. 904.4. a.
French,group,0.85,collective / people-name,F,543.100.,French Kyng dissembleth. 543.100.,French Kyng diſſembleth. 543.100.
French,group,0.85,collective / people-name,F,908.44. a,French Nauie. 908.44. a,French Nauie. 908.44. a
French,group,0.85,collective / people-name,F,615.58,French fleete vanquished by Englishe men. 615.58,French fleete vanquiſhed by Engliſhe men. 615.58
Fraunces,person,0.86,given name in entry; used elsewhere as a location; described by rank/office; appointment to office,F,1533.48. deliuered. 1537.10. is made knight of the Garter. 1541. 20. sendeth a defiance vnto the Emperour. 1541.25. his speache vnto the Emperours Ambassadour in a solemne assembly. 1546.50. chalendgeth the Emperour to the combat. 1547.50.,Fraunces the french king taken prisoner. 1533.48. deliuered. 1537.10. is made knight of the Garter. 1541. 20. sendeth a defiance vnto the Emperour. 1541.25. his speache vnto the Emperours Ambassadour in a solemne assembly. 1546.50. chalendgeth the Emperour to the combat. 1547.50.,Fraunces the french king takẽ priſoner. 1533.48. deliue|red. 1537.10. is made knight of the Garter. 1541. 20. ſendeth a defiance vnto the Emperour. 1541.25. his ſpeache vnto the Empe|rours Ambaſſadour in a ſo|lemne aſſembly. 1546.50. chalendgeth the Emperour to the combat. 1547.50.
Fraunces,person,0.79,given name in entry; used elsewhere as a location; described by rank/office,F,1510 40. commeth to Guisnes. 1511.11. Iusteth. 1511. 14.,Fraunces the french kyng desireth to meete with Kyng Henry. 1507.6. meeteth him in the bale of Audrien. 1510 40. commeth to Guisnes. 1511.11. Iusteth. 1511. 14.,Fraunces the french kyng de|ſireth to meete with Kyng Henry. 1507.6. meeteth him in the bale of Audrien. 1510 40. commeth to Guiſnes. 1511.11. Iuſteth. 1511. 14.
Fraunces,person,0.79,given name in entry; used elsewhere as a location; described by rank/office,F,1505.30.,Fraunces the French king seeketh by all meanes to winne the fauour of Cardinal Wol+sey. 1505.30.,Fraunces the French king ſee|keth by all meanes to winne the fauour of Cardinal Wol+ſey. 1505.30.
Fronto,uncertain,0.45,mixed signals: weak evidence,F,84.47.,Fronto counted equal vnto Cicero in eloquence. 84.47.,Fronto counted equal vnto Ci|cero in eloquence. 84.47.
Frankners,uncertain,0.2,"proper name, but no clear signal",F,87.38.,"Frankners, a people of Germanie. 87.38.","Frankners, a people of Germa|nie. 87.38."
Frederick,person,0.91,described by rank/office; holds a title over a place,F,,"Frederick, Abbot of Saint Albons, chiefe captaine of a conspiraaie against Kyng William. 306.39","Frederick, Abbot of Saint Al|bons, chiefe captaine of a conſpiraaie againſt Kyng William. 306.39"
Fraunces,person,0.83,given name in entry; used elsewhere as a location; described by rank/office,F,pag. 1387. col. 1. lin. 1. fled. pag. 1422. col. 1.,Fraunces Lorde Louel made Vicount Louel pag. 1387. col. 1. lin. 1. fled. pag. 1422. col. 1.,Fraunces Lorde Louel made Vicount Louel pag. 1387. col. 1. lin. 1. fled. pag. 1422. col. 1.
French,group,0.85,collective / people-name,F,,French king maketh warre agaynst king Iohn. 552.109.,French king maketh warre a|gaynſt king Iohn. 552.109.
French,group,0.85,collective / people-name,F,545.89.,French king inuadeth Normandie. 545.89.,French king inuadeth Nor|mandie. 545.89.
Fruydbert,person,0.81,described by rank/office,F,193.33.,Fruydbert Byshop. 193.33.,Fruydbert Byſhop. 193.33.
Fromundham,uncertain,0.2,"proper name, but no clear signal",F,252.8.,Fromundham. 252.8.,Fromundham. 252.8.
Frostes,uncertain,0.2,"proper name, but no clear signal",F,560.55.,Frostes. 560.55.,Froſtes. 560.55.
Frenche,group,0.85,collective / people-name,F,907.14. b.,Frenche frontiers ful of souldiours. 907.14. b.,Frenche frontiers ful of ſoul|diours. 907.14. b.
French,group,0.85,collective / people-name,F,904.34. b.,French army. 904.34. b.,French army. 904.34. b.
French,group,0.85,collective / people-name,F,809.12. a.,French kyngs vniust dealyng. 809.12. a.,French kyngs vniuſt dealyng. 809.12. a.
French,group,0.85,collective / people-name,F,977.2. b.,French kyng defyeth the kyng of England. 977.2. b.,French kyng defyeth the kyng of England. 977.2. b.
